data_type,timestamp,EEG1,EEG2,EEG3,EEG4
alpha_relative,1580237516528959,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516530864,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516531865,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516533014,0.0,0.0,0.0,0.0
quality,1580237516533636,4.0,1.0,1.0,2.0
alpha_absolute,1580237516631100,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516633282,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516636004,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516637365,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516638336,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516639336,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516640328,0.0,0.0,0.0,0.0
quality,1580237516641056,4.0,1.0,1.0,2.0
alpha_absolute,1580237516709377,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516710672,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516711797,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516712892,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516713840,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516714653,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516715500,0.0,0.0,0.0,0.0
quality,1580237516716004,4.0,1.0,1.0,2.0
alpha_absolute,1580237516816493,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516817817,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516819395,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516820513,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516821529,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516822440,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516823375,0.0,0.0,0.0,0.0
quality,1580237516823919,4.0,1.0,1.0,2.0
alpha_absolute,1580237516914242,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237516915800,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237516917270,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237516918575,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237516920037,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237516921450,NaN,NaN,0.2364502947923708,NaN
isGood,1580237516922572,0.0,0.0,0.0,0.0
quality,1580237516923184,4.0,1.0,1.0,2.0
alpha_absolute,1580237517033991,0.0,0.0,-0.21186710644038573,0.0
beta_absolute,1580237517035349,0.0,0.0,-0.3201237701685171,0.0
theta_absolute,1580237517038523,0.0,0.0,0.19963344800049598,0.0
alpha_relative,1580237517039742,NaN,NaN,0.09167254859380004,NaN
beta_relative,1580237517040681,NaN,NaN,0.07144677688633076,NaN
theta_relative,1580237517041690,NaN,NaN,0.2364502947923708,NaN
isGood,1580237517042710,0.0,0.0,0.0,0.0
quality,1580237517043292,4.0,1.0,1.0,2.0
alpha_absolute,1580237517144026,0.0,0.0,-0.21186710644038573,0.0
