data_type,timestamp,EEG1,EEG2,EEG3,EEG4
theta_relative,1592897219041267,0.23930759511319696,0.1570462420583419,NaN,0.19740280772148514
isGood,1592897219042086,1.0,1.0,0.0,0.0
quality,1592897219042335,1.0,1.0,2.0,1.0
alpha_absolute,1592897219143258,0.5674658555249218,0.05664724533374129,0.0,0.7215847835767935
beta_absolute,1592897219145550,0.5707634208264044,-0.15892288166360372,0.0,0.31176069192967887
theta_absolute,1592897219147008,0.7142591820983936,0.11668418230977202,0.0,0.5789046757023603
alpha_relative,1592897219149107,0.1603709182487353,0.1399303315090138,NaN,0.27417852350684474
beta_relative,1592897219151000,0.16159323717138915,0.08518080421005983,NaN,0.10671103733987013
theta_relative,1592897219152360,0.22486348772155126,0.16067518180765364,NaN,0.19740280772148514
isGood,1592897219153715,1.0,1.0,0.0,0.0
quality,1592897219154233,1.0,1.0,4.0,1.0
alpha_absolute,1592897219213146,0.5674658555249218,0.2420393385672789,0.0,0.7215847835767935
beta_absolute,1592897219213773,0.5699555656973263,-0.09387482604448338,0.0,0.31176069192967887
theta_absolute,1592897219214244,0.7344586378204178,0.19095716593920875,0.0,0.5789046757023603
alpha_relative,1592897219214690,0.14918166838549946,0.16879128715355934,NaN,0.27417852350684474
beta_relative,1592897219215329,0.1500393486008404,0.07788177848613528,NaN,0.10671103733987013
theta_relative,1592897219216085,0.21913323094577858,0.1500610055722499,NaN,0.19740280772148514
isGood,1592897219216776,1.0,1.0,0.0,0.0
quality,1592897219216982,1.0,1.0,4.0,1.0
alpha_absolute,1592897219363785,0.5674658555249218,0.4277373599829366,0.0,0.7215847835767935
beta_absolute,1592897219365178,0.5678571280075108,0.0032603292062034404,0.0,0.31176069192967887
theta_absolute,1592897219367176,0.757362752760016,0.2591158494693097,0.0,0.5789046757023603
alpha_relative,1592897219368088,0.1416036054583468,0.19123612126743192,NaN,0.27417852350684474
beta_relative,1592897219369244,0.14173123904008872,0.07196028849324865,NaN,0.10671103733987013
theta_relative,1592897219370259,0.21926595688065906,0.1297025205815952,NaN,0.19740280772148514
isGood,1592897219371319,1.0,1.0,0.0,0.0
quality,1592897219371724,1.0,1.0,4.0,1.0
alpha_absolute,1592897219448301,0.5674658555249218,0.5314222759178995,0.0,0.716188396928359
